obl.abr;x;y;obl.ukr
Кр;5,5;1,25;Кримська
Од;4;1,5;Одеська
Іф;1,5;2,5;Івано-Франківська
Чн;2,5;2,5;Чернівецька
Вн;3,5;2,5;Вінницька
Мк;4,5;2,5;Миколаївська
Хр;5,5;2,5;Херсонська
Зп;6,5;2,5;Запорізька
Зк;1;3,5;Закарпатська
Тр;2;3,5;Тернопільська
Хм;3;3,5;Хмельницька
Чк;4;3,5;Черкаська
Кг;5;3,5;Кіровоградська
Дн;6;3,5;Дніпропетровська
До;7;3,5;Донецька
Лв;1,5;4,5;Львівська
Рв;2,5;4,5;Рівненська
Жт;3,5;4,5;Житомирська
Кв;4,5;4,5;Київська
Пл;5,5;4,5;Полтавська
Хк;6,5;4,5;Харківська
Лг;7,5;4,5;Луганська
Вл;2;5,5;Волинська
Чг;5;5,5;Чернігівська
См;6;5,5;Сумська